id,title,slug,description,url,domain,workload
VGHZmlFZEeuV3xJQIImqCQ,Pioneers of Medicine and Medical Breakthroughs in Taiwan,taiwan-medical,,https://www.coursera.org/learn/taiwan-medical,,
6tfY45bqEeuFpwo_oTjObQ,Data Science with R - Capstone Project,data-science-with-r-capstone-project,,https://www.coursera.org/learn/data-science-with-r-capstone-project,,
vBUzDT9kEe-9Ig7qA4dB5w,Representation in Clinical Trials,representation-clinical-trials,,https://www.coursera.org/learn/representation-clinical-trials,,
6Q8IFxgbEei-DRJc5RbeSA,Healthcare Organizations and the Health System,healthcare-organizations-health-system,,https://www.coursera.org/learn/healthcare-organizations-health-system,,
wnrq5POXEe2QYAqHI8bXAQ,Implement Platform Protection,implement-platform-protection-azure,,https://www.coursera.org/learn/implement-platform-protection-azure,,
N0ZjdDIQEe-YcA77IVc2yQ,Workforce Productivity,workforce-productivity,,https://www.coursera.org/learn/workforce-productivity,,
-Ffj-tNhEeuydwpyq3rgBQ,How to Build an Effective Service Company,effective-service-company,,https://www.coursera.org/learn/effective-service-company,,
qz4JN17yEe6RZw60kd2zuQ,React Interview Questions,react-interview-questions,,https://www.coursera.org/learn/react-interview-questions,,
r9O6okXlEe6Hnw6gS4vBuQ,Achieving Supplier Diversity,achieving-supplier-diversity,,https://www.coursera.org/learn/achieving-supplier-diversity,,
Phz-8qQnEeyoLArJWUaFJw,The American Renaissance and Harriet Beecher Stowe,the-american-renaissance-and-harriet-beecher-stowe,,https://www.coursera.org/learn/the-american-renaissance-and-harriet-beecher-stowe,,
yveP2MMlEeus8wpKTixpYQ,Promotional Materials Every Musician Needs,promotional-materials-every-musician-needs,,https://www.coursera.org/learn/promotional-materials-every-musician-needs,,
w0PLJNTBEe22LAo38arT7w,Modeling of Autonomous Systems,modeling-of-autonomous-systems,,https://www.coursera.org/learn/modeling-of-autonomous-systems,,
daG-a-O1EeijKBISCWxf6g,AI For Everyone,ai-for-everyone,,https://www.coursera.org/learn/ai-for-everyone,,
yVDBMGE8EfCA0Qr_wn9qKQ,Generative AI in Deployment Training,generative-ai-in-deployment-training,,https://www.coursera.org/learn/generative-ai-in-deployment-training,,
sxQd3zI6EeWtEArDRuZAUQ,Communicating Data Science Results,data-results,,https://www.coursera.org/learn/data-results,,
1IxAHTxmEeWdUgozVKt3nw,Children Acquiring Literacy Naturally,children-literacy,,https://www.coursera.org/learn/children-literacy,,
n0uhB_oMEe-glg6vww23RQ,Mastering AWS SAM and Lambda - A Complete Hands-on Journey,packt-mastering-aws-sam-and-lambda-a-complete-hands-on-journey-ph0lo,,https://www.coursera.org/learn/packt-mastering-aws-sam-and-lambda-a-complete-hands-on-journey-ph0lo,,
JhXojhggEeiB7BJMyhcJoA,Introduction to Statistics,stanford-statistics,,https://www.coursera.org/learn/stanford-statistics,,
aNQImSnSEeyavRI3rIvGvQ,Choisir la Meilleure Méthode pour Illustrer les Données,choisir-la-meilleure-methode-pour-illustrer-les-donnees,,https://www.coursera.org/learn/choisir-la-meilleure-methode-pour-illustrer-les-donnees,,
GayzhaJvEeuDgAowKXa1Bw,Vers l'infiniment petit,infiniment-petit,,https://www.coursera.org/learn/infiniment-petit,,
jLD7voJ7EeyoNA5LwAhmgw,"Goldman Sachs 10,000 Women के साथ, प्रबंधन के मूल सिद्धांत",10k-women-8-hi,,https://www.coursera.org/learn/10k-women-8-hi,,
WTIvTaAwEe-wPA7Wj6E-Nw,SDV 101: Introduction to Software Defined Vehicles,sdv101,,https://www.coursera.org/learn/sdv101,,
liuLxCCIEey1uRLrSkRGzw,Python Packages for Data Science,python-packages-data-science,,https://www.coursera.org/learn/python-packages-data-science,,
whfcYmSaEfCuTQr_18aZHw,Unreal Engine Game - FPS Prototype,unreal-engine-game-fps-prototype,,https://www.coursera.org/learn/unreal-engine-game-fps-prototype,,
r7z6IJ1AEe-YGxLgAnnuGQ,Sector Investing,sector-investing,,https://www.coursera.org/learn/sector-investing,,
tuct1BSOEe-zqA6_zzhdJQ,VSCode for Developers: Set up a professional environment,vscode-for-developers-set-up-a-professional-environment,,https://www.coursera.org/learn/vscode-for-developers-set-up-a-professional-environment,,
8VtS9kmsEe2K6wqS71T08Q,Bring Your Story to Life – Video Post-Production,bringing-your-story-to-life,,https://www.coursera.org/learn/bringing-your-story-to-life,,
KD4-0r-yEeWaXhJquRNtDw,Academic Listening and Note-Taking,note-taking,,https://www.coursera.org/learn/note-taking,,
0PVrzapZEe6oQA6J-7B2nw,Generative AI Language Modeling with Transformers,generative-ai-language-modeling-with-transformers,,https://www.coursera.org/learn/generative-ai-language-modeling-with-transformers,,
K-hWu7hyEem22RLAKcU3NA,Methods for Solving Problems,mind-machine-problem-solving-methods,,https://www.coursera.org/learn/mind-machine-problem-solving-methods,,
IFAGCvYDEeiEWhIiTaqYIA,أساسيات مواقع الويب سريعة الاستجابة: البرمجة باستخدام HTML وCSS وJavaScript,website-coding-ar,,https://www.coursera.org/learn/website-coding-ar,,
frVZMy7BEeieyQoEmfUmdA,Foundations for Big Data Analysis with SQL,foundations-big-data-analysis-sql,,https://www.coursera.org/learn/foundations-big-data-analysis-sql,,
4dnapUocEeeMtBKozo_2UA,Financial Reporting Capstone,financial-reporting-capstone,,https://www.coursera.org/learn/financial-reporting-capstone,,
